,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore
307,82539,3,3,0.106617911,-1
308,131689,4,6,0.228897041,-1
309,115309,5,10,0.305969234,-1
310,131702,2,1,0.027784397,-1
311,131701,2,1,0.027784397,-1
312,82554,2,1,0.027784397,-1
313,131712,2,1,0.027784397,-1
314,131713,2,1,0.027784397,-1
315,131726,2,1,0.027784397,-1
316,82575,26,325,2.728663302,-330139376.1
317,131724,2,1,0.027784397,-1
318,115344,2,1,0.027784397,-1
319,131728,3,3,0.106617911,-1
320,98962,11,55,0.608551102,-1
321,131736,9,36,0.043502616,-1
322,131742,4,6,0.228897041,-1
323,115356,2,1,0.027784397,-1
324,115359,7,21,0.308660199,-1
325,131740,3,3,0.106617911,-1
326,131741,3,3,0.106617911,-1
327,131746,4,6,0.228897041,-1
328,131744,4,6,0.228897041,-1
329,131745,4,6,0.228897041,-1
330,131750,4,6,0.228897041,-1
331,131754,2,1,0.027784397,-1
332,115369,5,8,0.366866186,-1
333,131752,3,3,0.106617911,-1
334,131753,2,1,0.027784397,-1
335,131758,3,3,0.106617911,-1
336,131759,3,3,0.106617911,-1
337,131756,4,6,0.228897041,-1
338,98991,5,10,0.305969234,-1
339,131757,3,3,0.106617911,-1
340,131761,2,1,0.027784397,-1
341,99015,3,3,0.106617911,-1
342,82633,2,1,0.027784397,-1
343,115400,2,1,0.027784397,-1
344,82632,3,3,0.106617911,-1
345,115406,2,1,0.027784397,-1
346,131798,2,1,0.027784397,-1
347,131803,3,3,0.106617911,-1
348,131801,6,15,0.3339168,-1
349,82650,7,20,0.012970104,-1
350,131807,9,36,0.043502616,-1
351,99036,5,10,0.305969234,-1
352,131810,9,36,0.043502616,-1
353,99040,4,6,0.228897041,-1
354,131811,9,36,0.043502616,-1
355,131809,9,36,0.043502616,-1
356,131813,9,36,0.043502616,-1
357,115433,4,6,0.228897041,-1
358,131818,3,3,0.106617911,-1
359,115435,4,6,0.228897041,-1
360,115436,4,6,0.228897041,-1
361,82672,5,10,0.305969234,-1
362,115443,2,1,0.027784397,-1
363,131825,2,1,0.027784397,-1
364,131830,3,3,0.106617911,-1
365,131831,3,3,0.106617911,-1
366,131834,3,3,0.106617911,-1
367,82682,3,3,0.106617911,-1
368,99070,4,6,0.228897041,-1
369,131843,9,36,0.043502616,-1
370,131844,9,36,0.043502616,-1
371,82694,3,3,0.106617911,-1
372,115467,2,1,0.027784397,-1
373,115466,2,1,0.027784397,-1
374,115469,2,1,0.027784397,-1
375,99084,5,10,0.305969234,-1
376,131852,2,1,0.027784397,-1
377,131858,3,3,0.106617911,-1
378,99088,2,1,0.027784397,-1
379,99091,7,21,0.308660199,-1
380,131856,2,1,0.027784397,-1
381,131857,3,3,0.106617911,-1
382,131862,2,1,0.027784397,-1
383,82708,4,6,0.228897041,-1
384,131863,4,6,0.228897041,-1
385,82711,2,1,0.027784397,-1
386,82712,5,10,0.305969234,-1
387,131865,4,6,0.228897041,-1
388,99104,3,3,0.106617911,-1
389,99106,3,3,0.106617911,-1
390,131876,2,1,0.027784397,-1
391,99111,6,15,0.3339168,-1
392,131886,2,1,0.027784397,-1
393,131890,3,3,0.106617911,-1
394,131891,3,3,0.106617911,-1
395,131888,2,1,0.027784397,-1
396,131895,4,4,0.511212722,-1
397,131899,2,1,0.027784397,-1
398,131896,9,28,1.236960594,-409220180.6
399,82746,9,36,0.043502616,-1
400,82749,2,1,0.027784397,-1
401,131902,10,45,0.356027644,-1
402,131906,3,3,0.106617911,-1
403,131910,3,3,0.106617911,-1
404,131909,3,3,0.106617911,-1
405,82761,3,3,0.106617911,-1
406,131914,2,1,0.027784397,-1
407,131912,3,3,0.106617911,-1
408,131913,2,1,0.027784397,-1
409,131918,7,20,0.012970104,-1
410,115533,4,6,0.228897041,-1
411,131919,2,1,0.027784397,-1
412,131917,2,1,0.027784397,-1
413,131923,2,1,0.027784397,-1
414,99164,6,15,0.3339168,-1
415,99169,13,78,1.018896653,-1
416,99168,13,78,1.018896653,-1
417,115561,2,1,0.027784397,-1
418,131947,4,6,0.228897041,-1
419,99181,2,1,0.027784397,-1
420,99180,2,1,0.027784397,-1
421,131948,3,3,0.106617911,-1
422,99184,3,3,0.106617911,-1
423,131956,2,1,0.027784397,-1
424,131965,2,1,0.027784397,-1
425,131968,3,2,0.333182143,-1
426,131974,3,3,0.106617911,-1
427,131973,3,3,0.106617911,-1
428,82824,14,91,1.195131005,-1
429,99214,4,6,0.228897041,-1
430,99216,2,1,0.027784397,-1
431,99219,9,36,0.043502616,-1
432,131988,2,1,0.027784397,-1
433,82841,5,8,0.366866186,-1
434,82846,26,325,2.728663302,-330139376.1
435,99230,2,1,0.027784397,-1
436,82849,7,21,0.308660199,-1
437,82851,3,3,0.106617911,-1
438,99243,7,21,0.308660199,-1
439,132018,4,6,0.228897041,-1
440,82864,3,3,0.106617911,-1
441,132017,4,6,0.228897041,-1
442,99263,2,1,0.027784397,-1
443,115647,2,1,0.027784397,-1
444,115648,2,1,0.027784397,-1
445,132033,5,10,0.305969234,-1
446,115650,2,1,0.027784397,-1
447,99266,2,1,0.027784397,-1
448,132042,2,1,0.027784397,-1
449,132040,2,1,0.027784397,-1
450,82890,2,1,0.027784397,-1
451,82893,2,1,0.027784397,-1
452,82892,3,3,0.106617911,-1
453,132050,4,6,0.228897041,-1
454,132051,4,6,0.228897041,-1
455,132048,2,1,0.027784397,-1
456,132055,7,21,0.308660199,-1
457,132059,2,1,0.027784397,-1
458,99293,2,1,0.027784397,-1
459,132062,3,3,0.106617911,-1
460,132060,3,3,0.106617911,-1
461,132061,2,1,0.027784397,-1
462,99296,4,6,0.228897041,-1
463,82917,5,10,0.305969234,-1
464,99305,6,15,0.3339168,-1
465,82923,4,6,0.228897041,-1
466,115695,2,1,0.027784397,-1
467,115699,2,1,0.027784397,-1
468,82935,4,6,0.228897041,-1
469,132090,26,325,2.728663302,-330139376.1
470,82937,3,3,0.106617911,-1
471,115705,2,1,0.027784397,-1
472,115704,2,1,0.027784397,-1
473,82938,3,3,0.106617911,-1
474,115709,2,1,0.027784397,-1
475,115708,2,1,0.027784397,-1
476,82943,2,1,0.027784397,-1
477,82946,6,15,0.3339168,-1
478,82950,3,3,0.106617911,-1
479,115721,2,1,0.027784397,-1
480,82956,2,1,0.027784397,-1
481,132108,9,36,0.043502616,-1
482,132114,2,1,0.027784397,-1
483,99344,2,1,0.027784397,-1
484,132118,9,36,0.043502616,-1
485,82964,4,6,0.228897041,-1
486,82966,6,15,0.3339168,-1
487,132117,9,36,0.043502616,-1
488,82969,4,6,0.228897041,-1
489,82971,2,1,0.027784397,-1
490,132126,9,36,0.043502616,-1
491,132127,9,36,0.043502616,-1
492,132124,9,36,0.043502616,-1
493,99358,2,1,0.027784397,-1
494,132125,9,36,0.043502616,-1
495,99363,2,1,0.027784397,-1
496,82981,11,55,0.608551102,-1
497,132134,9,36,0.043502616,-1
498,132135,3,3,0.106617911,-1
499,82985,5,10,0.305969234,-1
500,132139,2,1,0.027784397,-1
501,132136,4,6,0.228897041,-1
502,132142,2,1,0.027784397,-1
503,132147,2,1,0.027784397,-1
504,132145,4,6,0.228897041,-1
505,82999,4,6,0.228897041,-1
506,115771,6,15,0.3339168,-1
507,83003,6,15,0.3339168,-1
508,83002,6,15,0.3339168,-1
509,132153,2,1,0.027784397,-1
510,83004,6,15,0.3339168,-1
511,99391,6,15,0.3339168,-1
512,99395,12,65,0.91273798,-1
513,99394,12,65,0.91273798,-1
514,83012,5,10,0.305969234,-1
515,132165,2,1,0.027784397,-1
516,115784,5,10,0.305969234,-1
517,132168,2,1,0.027784397,-1
518,99403,8,28,0.210492607,-1
519,99402,8,28,0.210492607,-1
520,115786,2,1,0.027784397,-1
521,115803,5,10,0.305969234,-1
522,132193,2,1,0.027784397,-1
523,132196,2,1,0.027784397,-1
524,99436,2,1,0.027784397,-1
525,132210,5,10,0.305969234,-1
526,132214,7,21,0.308660199,-1
527,132217,5,10,0.305969234,-1
528,115841,5,10,0.305969234,-1
529,132226,5,10,0.305969234,-1
530,115840,5,10,0.305969234,-1
531,115843,5,10,0.305969234,-1
532,132225,5,10,0.305969234,-1
533,83074,3,3,0.106617911,-1
534,83079,4,5,0.155591768,-1
535,115846,5,10,0.305969234,-1
536,115848,5,10,0.305969234,-1
537,132232,3,3,0.106617911,-1
538,99475,3,3,0.106617911,-1
539,83102,2,1,0.027784397,-1
540,132257,2,1,0.027784397,-1
541,115877,2,1,0.027784397,-1
542,132266,9,36,0.043502616,-1
543,132271,3,3,0.106617911,-1
544,132278,3,3,0.106617911,-1
545,132276,3,3,0.106617911,-1
546,132277,3,3,0.106617911,-1
547,132281,3,3,0.106617911,-1
548,132286,2,1,0.027784397,-1
549,132291,2,1,0.027784397,-1
550,83139,2,1,0.027784397,-1
551,132288,2,1,0.027784397,-1
