,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
775,130620,4,6,0.282164708,-1,
776,118339,3,3,0.102138795,-1,
777,120404,9,35,0.672164327,-97875652.34,
778,120406,8,28,0.741248349,-1,
779,91737,4,4,0.457764732,-1,
780,120411,10,41,0.222991574,-0.947640823,
781,71258,7,20,0.486899528,-42378599.14,
782,120410,10,41,0.222991574,-0.947640823,
783,120412,9,35,0.672164327,-97875652.34,
784,120419,2,1,0.054004865,-1,
785,118373,5,10,0.439456321,-1,
786,118372,2,1,0.054004865,-1,
787,99940,2,1,0.054004865,-1,
788,106089,2,1,0.054004865,-1,
789,122474,5,10,0.439456321,-1,
790,71280,2,1,0.054004865,-1,
791,106102,11,45,0.853597398,-2.278004414,
792,71288,3,3,0.102138795,-1,
793,112254,2,1,0.054004865,-1,
794,108161,15,93,0.941241495,-92406568.35,
795,106123,4,6,0.282164708,-1,
796,118411,2,1,0.054004865,-1,
797,120459,16,114,0.296982369,-1,
798,91787,4,6,0.282164708,-1,
799,91786,4,6,0.282164708,-1,
800,118416,2,1,0.054004865,-1,
801,89749,16,114,0.296982369,-1,
802,120468,2,1,0.054004865,-1,
803,102044,8,28,0.741248349,-1,
804,128668,5,10,0.439456321,-1,
805,102047,2,1,0.054004865,-1,
806,100003,2,1,0.054004865,-1,
807,114338,2,1,0.054004865,-1,
808,106149,2,1,0.054004865,-1,
809,106151,3,3,0.102138795,-1,
810,106150,2,1,0.054004865,-1,
811,77480,2,1,0.054004865,-1,
812,120491,2,1,0.054004865,-1,
813,136873,46,1035,2.621478952,-1.413759718,
814,120492,5,9,0.149453179,-1,
815,89780,4,6,0.282164708,-1,
816,95928,2,1,0.054004865,-1,
817,114364,2,1,0.054004865,-1,
818,128709,9,36,0.798362646,-1,
819,81604,5,10,0.439456321,-1,
820,118481,7,21,0.665156882,-1,
821,124624,2,1,0.054004865,-1,
822,126674,4,6,0.282164708,-1,
823,114386,2,1,0.054004865,-1,
824,120535,3,3,0.102138795,-1,
825,118486,2,1,0.054004865,-1,
826,118489,3,3,0.102138795,-1,
827,136923,46,1035,2.621478952,-1.413759718,
828,120536,3,3,0.102138795,-1,
829,118491,3,3,0.102138795,-1,
830,118493,5,10,0.439456321,-1,
831,89820,2,1,0.054004865,-1,
832,118494,5,10,0.439456321,-1,
833,124638,2,1,0.054004865,-1,
834,118507,5,10,0.439456321,-1,
835,118509,5,10,0.439456321,-1,
836,110316,4,4,0.457764732,-1,
837,128753,9,36,0.798362646,-1,
838,122614,2,1,0.054004865,-1,
839,124665,2,1,0.054004865,-1,
840,128769,9,36,0.798362646,-1,
841,128771,9,36,0.798362646,-1,
842,128770,9,36,0.798362646,-1,
843,132868,2,1,0.054004865,-1,
844,130826,3,3,0.102138795,-1,
845,124685,8,28,0.741248349,-1,
846,100111,3,3,0.102138795,-1,
847,124687,8,28,0.741248349,-1,
848,124689,8,28,0.741248349,-1,
849,124688,8,28,0.741248349,-1,
850,89875,6,15,0.56610178,-1,
851,118546,7,21,0.665156882,-1,
852,124690,8,28,0.741248349,-1,
853,124693,4,6,0.282164708,-1,
854,118548,7,20,0.486899528,-42378599.14,
855,124692,4,6,0.282164708,-1,
856,102168,2,1,0.054004865,-1,
857,118555,4,6,0.282164708,-1,
858,128801,5,10,0.439456321,-1,
859,124706,6,8,1.248439596,-340862047.4,
860,128804,8,25,0.168224761,-1,
861,118571,2,1,0.054004865,-1,
862,118573,50,1211,2.875319225,-1,
863,118572,43,903,2.467777832,-1.334561683,
864,118575,43,903,2.467777832,-1.334561683,
865,118574,50,1211,2.875319225,-1,
866,118579,2,1,0.054004865,-1,
867,139063,8,28,0.741248349,-1,
868,139060,8,28,0.741248349,-1,
869,139061,8,28,0.741248349,-1,
870,122680,2,1,0.054004865,-1,
871,91969,3,3,0.102138795,-1,
872,83781,2,1,0.054004865,-1,
873,120647,7,21,0.665156882,-1,
874,130887,2,1,0.054004865,-1,
875,102217,3,3,0.102138795,-1,
876,102216,3,3,0.102138795,-1,
877,102219,3,3,0.102138795,-1,
878,118602,50,1211,2.875319225,-1,
879,96074,2,1,0.054004865,-1,
880,73546,3,3,0.102138795,-1,
881,91981,13,78,0.884117727,-1,
