InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
98767,4,5,0.155591768,-1.0,1.155591768
82382,4,6,0.228897041,-1.0,1.228897041
131538,5,10,0.305969234,-1.0,1.305969234
131539,5,10,0.305969234,-1.0,1.305969234
131537,5,10,0.305969234,-1.0,1.305969234
131542,5,10,0.305969234,-1.0,1.305969234
131543,5,10,0.305969234,-1.0,1.305969234
131540,5,10,0.305969234,-1.0,1.305969234
131541,2,1,0.027784397,-1.0,1.027784397
131546,5,10,0.305969234,-1.0,1.305969234
131544,5,10,0.305969234,-1.0,1.305969234
98780,3,3,0.106617911,-1.0,1.106617911
115164,9,36,0.043502616,-1.0,1.043502616
131554,2,1,0.027784397,-1.0,1.027784397
98784,4,6,0.228897041,-1.0,1.228897041
131559,4,6,0.228897041,-1.0,1.228897041
82406,3,2,0.333182143,-1.0,1.333182143
131562,2,1,0.027784397,-1.0,1.027784397
131563,2,1,0.027784397,-1.0,1.027784397
115179,5,7,0.639083189,-1.0,1.639083189
131567,2,1,0.027784397,-1.0,1.027784397
131570,6,15,0.3339168,-1.0,1.3339168
131571,3,3,0.106617911,-1.0,1.106617911
131568,4,6,0.228897041,-1.0,1.228897041
98802,4,6,0.228897041,-1.0,1.228897041
131569,4,6,0.228897041,-1.0,1.228897041
131574,3,3,0.106617911,-1.0,1.106617911
131575,6,15,0.3339168,-1.0,1.3339168
131573,6,15,0.3339168,-1.0,1.3339168
98809,3,3,0.106617911,-1.0,1.106617911
131576,6,15,0.3339168,-1.0,1.3339168
131583,9,36,0.043502616,-1.0,1.043502616
131586,9,36,0.043502616,-1.0,1.043502616
131587,9,36,0.043502616,-1.0,1.043502616
131585,4,6,0.228897041,-1.0,1.228897041
115205,5,10,0.305969234,-1.0,1.305969234
131590,9,36,0.043502616,-1.0,1.043502616
98823,2,1,0.027784397,-1.0,1.027784397
131589,9,36,0.043502616,-1.0,1.043502616
82443,2,1,0.027784397,-1.0,1.027784397
82447,3,3,0.106617911,-1.0,1.106617911
131600,2,1,0.027784397,-1.0,1.027784397
82450,2,1,0.027784397,-1.0,1.027784397
131606,2,1,0.027784397,-1.0,1.027784397
98839,8,28,0.210492607,-1.0,1.210492607
131609,4,6,0.228897041,-1.0,1.228897041
