,InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore
1812,102770,2,1,0.013247896,-1
1813,70005,6,15,0.587896186,-1
1814,102773,2,1,0.013247896,-1
1815,70006,6,15,0.587896186,-1
1816,70008,6,15,0.587896186,-1
1817,70011,2,1,0.013247896,-1
1818,70013,6,8,1.225754612,-1
1819,78207,2,1,0.013247896,-1
1820,70017,3,2,0.270895239,-1
1821,70018,2,1,0.013247896,-1
1822,70021,2,1,0.013247896,-1
1823,86407,2,1,0.013247896,-1
1824,70022,2,1,0.013247896,-1
1825,86409,2,1,0.013247896,-1
1826,70027,2,1,0.013247896,-1
1827,70031,10,31,1.411788448,-1.205772622
1828,70030,5,9,0.207095434,-1
1829,102798,2,1,0.013247896,-1
1830,110993,4,6,0.342847337,-1
1831,78224,2,1,0.013247896,-1
1832,70035,2,1,0.013247896,-1
1833,110994,4,6,0.342847337,-1
1834,78229,2,1,0.013247896,-1
1835,94613,2,1,0.013247896,-1
1836,70036,3,3,0.163469871,-1
1837,86425,2,1,0.013247896,-1
1838,70043,3,3,0.163469871,-1
1839,70042,2,1,0.013247896,-1
1840,94618,2,1,0.013247896,-1
1841,70044,6,12,0.277798624,-1
1842,78239,8,27,0.548284387,-1
1843,86435,2,1,0.013247896,-1
1844,102818,2,1,0.013247896,-1
1845,70052,6,12,0.277798624,-1
1846,70055,3,3,0.163469871,-1
1847,94631,5,4,1.550844115,-193820027
1848,70058,14,67,1.836971178,-4.922919695
1849,70061,2,1,0.013247896,-1
1850,70060,10,41,0.148704659,-0.939754857
1851,111023,2,1,0.013247896,-1
1852,78257,3,3,0.163469871,-1
1853,70064,2,1,0.013247896,-1
1854,70067,6,12,0.277798624,-1
1855,78258,4,6,0.342847337,-1
1856,70069,3,3,0.163469871,-1
1857,86452,3,3,0.163469871,-1
1858,94646,2,1,0.013247896,-1
1859,70070,5,9,0.207095434,-1
1860,94651,2,1,0.013247896,-1
1861,102843,2,1,0.013247896,-1
1862,78271,3,3,0.163469871,-1
1863,70083,3,3,0.163469871,-1
1864,111042,2,1,0.013247896,-1
1865,70082,2,1,0.013247896,-1
1866,86471,2,1,0.013247896,-1
1867,70088,3,3,0.163469871,-1
1868,78282,2,1,0.013247896,-1
1869,86477,2,1,0.013247896,-1
1870,111055,7,21,0.658629463,-1
1871,78288,3,3,0.163469871,-1
1872,111056,2,1,0.013247896,-1
1873,70099,5,10,0.484627311,-1
1874,70101,2,1,0.013247896,-1
1875,78292,3,3,0.163469871,-1
1876,70103,5,10,0.484627311,-1
1877,70104,4,4,0.39540302,-1
1878,70106,3,3,0.163469871,-1
1879,70109,5,10,0.484627311,-1
1880,86493,3,3,0.163469871,-1
1881,70108,3,3,0.163469871,-1
1882,78300,2,1,0.013247896,-1
1883,70111,5,10,0.484627311,-1
1884,86495,5,10,0.484627311,-1
1885,70110,10,25,2.0546804,-1.41463257
1886,94691,2,1,0.013247896,-1
1887,70115,3,3,0.163469871,-1
1888,102882,2,1,0.013247896,-1
1889,111076,2,1,0.013247896,-1
1890,70116,2,1,0.013247896,-1
1891,70119,13,60,1.537553129,-1
1892,102887,7,21,0.658629463,-1
1893,70118,9,36,0.722213721,-1
1894,70121,9,34,0.414279054,-248235838.3
1895,70120,10,42,0.206057349,-1.060092902
1896,78314,5,8,0.165853649,-1
1897,86506,2,1,0.013247896,-1
1898,111082,2,1,0.013247896,-1
1899,86511,3,3,0.163469871,-1
1900,70126,2,1,0.013247896,-1
1901,86512,3,3,0.163469871,-1
1902,94704,2,1,0.013247896,-1
1903,70131,9,28,0.860577656,-1.021056879
1904,86514,2,1,0.013247896,-1
1905,70130,4,6,0.342847337,-1
1906,70133,8,28,0.702236748,-1
1907,78325,2,1,0.013247896,-1
1908,78324,2,1,0.013247896,-1
1909,78327,4,6,0.342847337,-1
1910,86519,9,20,1.837924261,-1.848444013
1911,70134,3,3,0.163469871,-1
1912,70137,4,6,0.342847337,-1
1913,78329,2,1,0.013247896,-1
1914,70138,2,1,0.013247896,-1
1915,78333,5,10,0.484627311,-1
1916,78334,5,10,0.484627311,-1
1917,70145,3,2,0.270895239,-1
1918,70144,2,1,0.013247896,-1
1919,78336,4,6,0.342847337,-1
1920,102917,2,1,0.013247896,-1
1921,70151,6,14,0.369648741,-1
1922,70150,2,1,0.013247896,-1
1923,70152,4,6,0.342847337,-1
1924,94733,4,6,0.342847337,-1
1925,70156,6,15,0.587896186,-1
1926,94735,2,1,0.013247896,-1
1927,86555,2,1,0.013247896,-1
1928,70173,5,10,0.484627311,-1
1929,70172,5,10,0.484627311,-1
1930,102940,3,3,0.163469871,-1
1931,70175,2,1,0.013247896,-1
1932,78366,3,3,0.163469871,-1
1933,70174,6,11,0.524709562,-1
1934,111137,3,2,0.270895239,-1
1935,70177,2,1,0.013247896,-1
1936,70179,3,3,0.163469871,-1
1937,78371,11,45,1.003794208,-1.085241045
1938,70178,5,8,0.165853649,-1
1939,70181,3,3,0.163469871,-1
1940,70180,2,1,0.013247896,-1
1941,70183,3,2,0.270895239,-1
1942,70182,2,1,0.013247896,-1
1943,94758,2,1,0.013247896,-1
1944,70187,4,6,0.342847337,-1
1945,70186,5,10,0.484627311,-1
1946,102957,3,2,0.270895239,-1
1947,102956,6,15,0.587896186,-1
1948,102958,2,1,0.013247896,-1
1949,70193,4,4,0.39540302,-1
1950,78385,2,1,0.013247896,-1
1951,102961,8,25,0.076177062,-1
1952,70194,3,3,0.163469871,-1
1953,94770,2,1,0.013247896,-1
1954,78389,3,2,0.270895239,-1
1955,70197,8,26,0.356804245,-1
1956,94776,2,1,0.013247896,-1
1957,70211,2,1,0.013247896,-1
1958,111172,2,1,0.013247896,-1
1959,70212,3,3,0.163469871,-1
1960,86598,4,6,0.342847337,-1
1961,70214,4,6,0.342847337,-1
1962,70218,2,1,0.013247896,-1
1963,78414,7,21,0.658629463,-1
1964,78417,4,6,0.342847337,-1
1965,70225,2,1,0.013247896,-1
1966,86608,5,5,1.091720978,-1
1967,70229,2,1,0.013247896,-1
1968,94811,2,1,0.013247896,-1
1969,78428,7,21,0.658629463,-1
1970,70238,2,1,0.013247896,-1
1971,70241,3,3,0.163469871,-1
1972,78433,4,5,0.023614358,-1
1973,70243,3,3,0.163469871,-1
1974,86629,3,3,0.163469871,-1
1975,78439,3,3,0.163469871,-1
1976,70246,3,3,0.163469871,-1
1977,94825,3,3,0.163469871,-1
1978,70250,2,1,0.013247896,-1
1979,70253,4,6,0.342847337,-1
1980,70252,3,3,0.163469871,-1
1981,86639,3,3,0.163469871,-1
1982,86638,3,3,0.163469871,-1
1983,70257,3,3,0.163469871,-1
1984,94833,4,6,0.342847337,-1
1985,86643,5,10,0.484627311,-1
1986,86642,3,3,0.163469871,-1
1987,70258,3,3,0.163469871,-1
1988,94839,2,1,0.013247896,-1
1989,78454,5,10,0.484627311,-1
1990,70265,3,2,0.270895239,-1
1991,86649,7,21,0.658629463,-1
1992,70267,4,6,0.342847337,-1
1993,86651,4,5,0.023614358,-1
1994,86653,3,3,0.163469871,-1
1995,86652,3,3,0.163469871,-1
1996,70270,6,9,0.972929843,-1
1997,94849,2,1,0.013247896,-1
1998,70273,3,3,0.163469871,-1
1999,78466,2,1,0.013247896,-1
2000,94850,8,20,0.94794229,-1.029279636
2001,70280,4,6,0.342847337,-1
2002,70283,3,3,0.163469871,-1
2003,94858,5,10,0.484627311,-1
2004,70285,7,15,0.766401225,-56057448.2
2005,70284,3,3,0.163469871,-1
2006,86673,4,5,0.023614358,-1
2007,70289,4,6,0.342847337,-1
2008,70288,2,1,0.013247896,-1
2009,70291,2,1,0.013247896,-1
2010,70290,4,6,0.342847337,-1
2011,86676,6,15,0.587896186,-1
2012,78488,4,5,0.023614358,-1
2013,103066,5,10,0.484627311,-1
2014,70298,6,10,0.746172561,-1
2015,78493,2,1,0.013247896,-1
2016,70302,3,3,0.163469871,-1
2017,86686,3,3,0.163469871,-1
2018,111264,2,1,0.013247896,-1
2019,94885,2,1,0.013247896,-1
2020,70308,7,12,1.310254542,-1.016016456
2021,78502,2,1,0.013247896,-1
2022,70317,8,25,0.076177062,-1
2023,94892,2,1,0.013247896,-1
2024,70316,4,6,0.342847337,-1
2025,78513,4,6,0.342847337,-1
2026,78517,5,10,0.484627311,-1
2027,78516,5,10,0.484627311,-1
2028,111287,2,1,0.013247896,-1
2029,70329,4,6,0.342847337,-1
2030,78521,5,10,0.484627311,-1
2031,70331,3,2,0.270895239,-1
2032,78523,5,10,0.484627311,-1
2033,78522,5,10,0.484627311,-1
2034,78525,2,1,0.013247896,-1
2035,70335,6,12,0.277798624,-1
2036,86722,3,3,0.163469871,-1
2037,70342,8,23,0.483991668,-184834057.9
2038,94922,4,6,0.342847337,-1
2039,70350,5,10,0.484627311,-1
2040,70353,2,1,0.013247896,-1
2041,70352,3,3,0.163469871,-1
2042,94931,2,1,0.013247896,-1
2043,78546,3,3,0.163469871,-1
2044,70354,2,1,0.013247896,-1
2045,94932,4,6,0.342847337,-1
2046,103130,2,1,0.013247896,-1
2047,70362,7,21,0.658629463,-1
2048,78554,2,1,0.013247896,-1
2049,70365,2,1,0.013247896,-1
2050,70364,2,1,0.013247896,-1
2051,78560,5,7,0.466108507,-1
2052,70371,10,33,1.221151204,-1.036877285
2053,70372,9,32,0.181949799,-1
2054,70377,3,3,0.163469871,-1
2055,70376,5,5,1.091720978,-1
2056,70379,4,3,0.817345077,-1
2057,70381,2,1,0.013247896,-1
2058,70383,7,21,0.658629463,-1
2059,103150,2,1,0.013247896,-1
2060,78576,2,1,0.013247896,-1
2061,70384,4,4,0.39540302,-1
2062,78578,3,2,0.270895239,-1
2063,94962,2,1,0.013247896,-1
2064,70389,3,3,0.163469871,-1
2065,78581,2,1,0.013247896,-1
2066,94967,2,1,0.013247896,-1
2067,103158,4,6,0.342847337,-1
2068,78584,5,7,0.466108507,-1
2069,70392,2,1,0.013247896,-1
2070,70394,3,3,0.163469871,-1
2071,70397,2,1,0.013247896,-1
2072,94973,2,1,0.013247896,-1
2073,86780,3,2,0.270895239,-1
2074,86782,2,1,0.013247896,-1
2075,70398,2,1,0.013247896,-1
2076,70402,5,8,0.165853649,-1
2077,94978,3,3,0.163469871,-1
2078,78597,2,1,0.013247896,-1
2079,78598,3,3,0.163469871,-1
2080,94986,2,1,0.013247896,-1
2081,78605,4,4,0.39540302,-1
2082,78604,5,9,0.207095434,-1
2083,94990,2,1,0.013247896,-1
2084,111376,3,3,0.163469871,-1
2085,94992,3,3,0.163469871,-1
2086,78608,6,12,0.277798624,-1
2087,78613,2,1,0.013247896,-1
2088,94997,4,6,0.342847337,-1
2089,70421,3,2,0.270895239,-1
2090,94998,6,11,0.524709562,-1
2091,78616,2,1,0.013247896,-1
2092,86808,2,1,0.013247896,-1
2093,86810,9,36,0.722213721,-1
2094,78621,2,1,0.013247896,-1
2095,103198,2,1,0.013247896,-1
2096,70433,5,8,0.165853649,-1
2097,70432,5,9,0.207095434,-1
2098,70435,6,15,0.587896186,-1
2099,111394,4,4,0.39540302,-1
2100,70437,6,15,0.587896186,-1
2101,103205,2,1,0.013247896,-1
2102,70436,6,15,0.587896186,-1
2103,86823,6,15,0.587896186,-1
2104,70438,6,15,0.587896186,-1
2105,70440,2,1,0.013247896,-1
2106,86824,6,15,0.587896186,-1
2107,78635,5,9,0.207095434,-1
2108,103210,5,8,0.165853649,-1
2109,78637,2,1,0.013247896,-1
2110,70445,5,5,1.091720978,-1
2111,95021,2,1,0.013247896,-1
2112,95020,2,1,0.013247896,-1
2113,86831,3,3,0.163469871,-1
2114,95023,5,10,0.484627311,-1
2115,103215,2,1,0.013247896,-1
2116,78638,2,1,0.013247896,-1
2117,78641,3,3,0.163469871,-1
2118,103219,2,1,0.013247896,-1
2119,78645,6,15,0.587896186,-1
2120,103227,7,21,0.658629463,-1
2121,78655,2,1,0.013247896,-1
2122,70463,2,1,0.013247896,-1
2123,95038,2,1,0.013247896,-1
2124,78657,2,1,0.013247896,-1
2125,70466,2,1,0.013247896,-1
2126,86852,2,1,0.013247896,-1
2127,86856,2,1,0.013247896,-1
2128,86858,5,10,0.484627311,-1
2129,95053,2,1,0.013247896,-1
2130,70479,2,1,0.013247896,-1
2131,70481,2,1,0.013247896,-1
2132,70483,2,1,0.013247896,-1
2133,78674,3,3,0.163469871,-1
2134,70484,2,1,0.013247896,-1
2135,95060,6,15,0.587896186,-1
2136,70487,2,1,0.013247896,-1
2137,78681,2,1,0.013247896,-1
2138,70488,2,1,0.013247896,-1
2139,95069,4,6,0.342847337,-1
2140,70495,8,27,0.548284387,-1
2141,111454,2,1,0.013247896,-1
2142,95070,4,6,0.342847337,-1
2143,78690,2,1,0.013247896,-1
2144,70498,8,26,0.356804245,-1
2145,78693,2,1,0.013247896,-1
2146,70500,3,3,0.163469871,-1
2147,103273,2,1,0.013247896,-1
2148,70505,5,10,0.484627311,-1
2149,78696,2,1,0.013247896,-1
2150,70504,5,10,0.484627311,-1
2151,70507,5,10,0.484627311,-1
2152,70506,5,10,0.484627311,-1
2153,70509,4,4,0.39540302,-1
2154,78703,2,1,0.013247896,-1
2155,70511,3,3,0.163469871,-1
2156,70510,3,3,0.163469871,-1
2157,78702,2,1,0.013247896,-1
2158,78705,4,6,0.342847337,-1
2159,78704,2,1,0.013247896,-1
2160,70519,3,2,0.270895239,-1
2161,95095,9,36,0.722213721,-1
2162,70521,2,1,0.013247896,-1
2163,70520,2,1,0.013247896,-1
2164,78715,2,1,0.013247896,-1
2165,70522,4,3,0.817345077,-1
2166,86908,3,3,0.163469871,-1
2167,95100,2,1,0.013247896,-1
2168,78716,2,1,0.013247896,-1
2169,95102,2,1,0.013247896,-1
2170,78721,11,51,0.185817448,-1.564113987
2171,95104,2,1,0.013247896,-1
