InsiderID,NodeCount,EdgeCount,outlierscore,LOFScore,TotalOutlierScore
129256,7,17,0.371819052,-1.034303881,1.406122933
88301,4,6,0.282164708,-1.0,1.282164708
137455,2,1,0.054004865,-1.0,1.054004865
88300,4,6,0.282164708,-1.0,1.282164708
129263,5,10,0.439456321,-1.0,1.439456321
129262,7,17,0.371819052,-1.034303881,1.406122933
92403,4,6,0.282164708,-1.0,1.282164708
82170,3,3,0.102138795,-1.0,1.1021387950000001
135417,2,1,0.054004865,-1.0,1.054004865
88323,6,14,0.343308637,-1.0,1.343308637
116997,2,1,0.054004865,-1.0,1.054004865
125189,2,1,0.054004865,-1.0,1.054004865
112902,7,19,0.260426949,-1.0,1.260426949
84239,3,3,0.102138795,-1.0,1.1021387950000001
123150,3,3,0.102138795,-1.0,1.1021387950000001
123153,3,3,0.102138795,-1.0,1.1021387950000001
90385,8,28,0.741248349,-1.0,1.7412483490000001
123152,3,3,0.102138795,-1.0,1.1021387950000001
69907,7,20,0.486899528,-4.237859914E7,4.2378599626899526E7
82203,3,3,0.102138795,-1.0,1.1021387950000001
112924,55,1430,3.236464764,-1.0,4.236464764
121121,10,41,0.222991574,-0.947640823,1.1706323969999999
112928,53,1347,3.070178413,-1.0,4.070178413
117027,12,54,0.985360814,-1.101249007,2.086609821
117028,3,3,0.102138795,-1.0,1.1021387950000001
117032,2,1,0.054004865,-1.0,1.054004865
117035,16,94,1.64117417,-1.72937943E8,1.7293794464117417E8
112938,53,1347,3.070178413,-1.0,4.070178413
117034,2,1,0.054004865,-1.0,1.054004865
112941,55,1430,3.236464764,-1.0,4.236464764
127277,6,15,0.56610178,-1.0,1.5661017799999999
117037,14,88,0.575575383,-1.0,1.5755753829999999
127276,6,15,0.56610178,-1.0,1.5661017799999999
117036,13,78,0.884117727,-1.0,1.884117727
112943,53,1347,3.070178413,-1.0,4.070178413
127278,6,15,0.56610178,-1.0,1.5661017799999999
117041,9,33,0.333053964,-1.217739922,1.5507938860000001
117040,9,33,0.333053964,-1.217739922,1.5507938860000001
86324,12,66,0.881421305,-1.0,1.881421305
117047,9,36,0.798362646,-1.0,1.798362646
135482,5,10,0.439456321,-1.0,1.439456321
119097,5,10,0.439456321,-1.0,1.439456321
117048,9,36,0.798362646,-1.0,1.798362646
82235,8,28,0.741248349,-1.0,1.7412483490000001
117051,9,36,0.798362646,-1.0,1.798362646
117050,9,36,0.798362646,-1.0,1.798362646
119101,3,3,0.102138795,-1.0,1.1021387950000001
117053,9,36,0.798362646,-1.0,1.798362646
117052,9,36,0.798362646,-1.0,1.798362646
137535,3,3,0.102138795,-1.0,1.1021387950000001
74046,7,19,0.260426949,-1.0,1.260426949
112958,55,1430,3.236464764,-1.0,4.236464764
112960,55,1430,3.236464764,-1.0,4.236464764
112963,55,1430,3.236464764,-1.0,4.236464764
137536,3,3,0.102138795,-1.0,1.1021387950000001
112965,55,1430,3.236464764,-1.0,4.236464764
112964,55,1430,3.236464764,-1.0,4.236464764
123207,3,3,0.102138795,-1.0,1.1021387950000001
112966,55,1430,3.236464764,-1.0,4.236464764
112969,53,1347,3.070178413,-1.0,4.070178413
117065,2,1,0.054004865,-1.0,1.054004865
135498,3,3,0.102138795,-1.0,1.1021387950000001
135499,3,3,0.102138795,-1.0,1.1021387950000001
112971,55,1430,3.236464764,-1.0,4.236464764
117067,2,1,0.054004865,-1.0,1.054004865
112970,55,1430,3.236464764,-1.0,4.236464764
135497,3,3,0.102138795,-1.0,1.1021387950000001
112973,55,1430,3.236464764,-1.0,4.236464764
